Latitude decimal;Longitude decimal
-14.099.972.222.222.200;-4.775.802.777.777.770
-14.099.972.222.222.200;-4.775.802.777.777.770
-14.099.972.222.222.200;-4.775.802.777.777.770
-14.099.972.222.222.200;-4.775.802.777.777.770
-14.099.972.222.222.200;-4.775.802.777.777.770
-14.099.972.222.222.200;-4.775.802.777.777.770
-14.099.416.666.666.600;-4.775.702.777.777.770
-14.099.416.666.666.600;-4.775.702.777.777.770
-14.099.416.666.666.600;-4.775.702.777.777.770
-14.099.027.777.777.700;-4.775.633.333.333.330
-14.099.027.777.777.700;-4.775.633.333.333.330
-14.099.027.777.777.700;-4.775.633.333.333.330
-14.099.027.777.777.700;-4.775.633.333.333.330
